start_year,House,Senate
1919,49.6673511293634,56.840520191649546
1921,50.5872689938398,57.3990417522245
1923,51.2717316906229,58.5845311430527
1925,52.772073921971256,57.5222450376454
1927,53.8781656399726,57.596167008898
1929,54.1848049281314,57.567419575633096
1931,54.516084873374396,57.1498973305955
1933,52.94592744695415,57.4592744695414
1935,51.145790554414745,57.5687885010267
1937,50.60643394934975,59.123887748117696
1939,50.318959616700894,59.9123887748118
1941,50.35318275154005,57.5468856947296
1943,50.8172484599589,58.652977412731
1945,51.6851471594798,56.8624229979466
1947,51.4592744695414,56.2737850787132
1949,50.7268993839836,56.353182751540004
1951,51.80150581793295,55.1950718685832
1953,52.2217659137577,56.699520876112246
1955,52.3696098562628,58.0643394934976
1957,52.993839835729,58.227241615332005
1959,51.3456536618754,57.4182067077344
1961,52.4599589322382,57.80424366872
1963,50.980150581793254,57.80424366872
1965,49.9849418206708,58.6023271731691
1967,50.621492128678995,59.0225872689938
1969,51.5783709787817,56.1409993155373
1971,51.66050650239565,55.83436002737855
1973,50.78439425051335,54.6447638603696
1975,49.78097193702945,54.6584531143053
1977,49.5468856947296,53.144421629021195
1979,49.326488706365495,52.655715263518104
1981,48.5475701574264,51.68104038329915
1983,48.36002737850785,52.821355236139595
1985,49.0431211498973,53.6673511293634
1987,49.6317590691307,53.8480492813142
1989,50.279260780287444,54.6502395619439
1991,51.9206023271732,56.517453798768
1993,50.7378507871321,57.2922655715264
1995,50.714579055441504,57.4674880219028
1997,51.45242984257355,56.16290212183435
1999,52.4681724845996,57.14852840520195
2001,53.7987679671458,58.3134839151266
2003,54.9486652977413,59.35249828884325
2005,55.96851471594795,60.99383983572895
2007,56.4626967830253,62.6036960985626
2009,57.15811088295685,61.9466119096509
2011,57.13757700205335,61.0609171800137
2013,57.242984257358,61.6235455167693
2015,57.5414099931554,61.27446954140996
2017,58.12731006160165,62.6009582477755
2019,57.83162217659135,63.347022587269
2021,58.2751540041068,64.2819986310746
2023,57.8398357289528,65.264887063655
